humidity,rainfall_24hr,rainfall_3days,soil_moisture,elevation,typeof_disaster
97.7,247.9,538.4,91.1,2360.0,Landslide
97.3,233.6,355.2,88.1,125.0,Flood
67.7,45.2,112.5,43.4,1497.0,Safe
39.4,33.8,10.1,45.1,1476.0,Safe
60.8,59.2,4.4,60.1,1232.0,Safe
84.4,74.4,56.7,38.6,1048.0,Safe
96.6,238.9,364.6,94.2,156.0,Flood
94.2,243.5,259.4,86.0,143.0,Flood
81.8,38.6,75.5,53.5,978.0,Safe
77.9,59.8,107.9,54.7,2422.0,Safe
60.8,2.3,39.2,25.0,419.0,Safe
72.5,0.4,23.8,44.7,1608.0,Safe
56.6,54.9,50.5,31.3,479.0,Safe
64.4,59.9,0.6,66.7,908.0,Safe
59.7,51.7,10.1,54.0,983.0,Safe
48.4,6.6,54.7,48.5,126.0,Safe
96.8,277.5,642.2,75.8,37.0,Cyclone
64.0,29.2,33.7,34.9,1645.0,Safe
76.0,54.1,78.7,30.0,1456.0,Safe
50.9,18.9,74.1,69.7,18.0,Safe
54.5,25.8,72.5,48.7,2855.0,Safe
74.0,45.3,7.2,52.7,1017.0,Safe
96.3,222.9,789.0,98.2,3391.0,Landslide
90.5,248.5,533.6,89.7,173.0,Flood
38.5,51.1,108.7,70.6,734.0,Safe
68.7,41.1,48.1,62.3,2587.0,Safe
9.8,0.0,0.0,9.0,499.0,Drought
91.9,326.5,483.8,89.3,35.0,Flood
59.5,0.7,42.8,25.1,1595.0,Safe
95.9,411.1,486.7,83.6,25.0,Cyclone
62.5,41.4,23.8,58.1,1475.0,Safe
96.4,335.4,246.3,98.3,105.0,Flood
62.0,44.8,23.6,34.4,797.0,Safe
37.6,74.2,5.8,30.1,2129.0,Safe
96.6,120.0,697.6,95.0,1712.0,Landslide
73.7,16.6,20.8,60.5,2353.0,Safe
49.0,53.7,111.8,32.8,1067.0,Safe
71.5,16.0,67.5,32.8,2602.0,Safe
57.8,78.5,118.7,51.5,1367.0,Safe
79.6,69.4,24.8,71.9,2294.0,Safe
83.7,22.0,91.6,63.9,2823.0,Safe
99.5,338.7,441.9,77.1,7.0,Cyclone
56.5,76.7,60.6,58.4,1602.0,Safe
60.1,73.6,52.3,44.8,2762.0,Safe
40.9,64.6,114.0,30.9,1536.0,Safe
66.6,14.6,77.6,21.4,1519.0,Safe
58.1,8.5,76.7,35.6,211.0,Safe
95.5,226.1,784.5,94.5,1841.0,Landslide
19.3,0.0,0.0,12.6,375.0,Drought
44.2,40.0,100.9,23.6,246.0,Safe
80.2,76.0,73.5,34.2,38.0,Safe
47.6,47.6,97.6,74.1,1161.0,Safe
92.6,167.2,440.1,99.9,990.0,Landslide
82.2,17.2,87.1,26.5,1327.0,Safe
76.0,57.1,74.4,43.3,2449.0,Safe
94.3,311.2,377.0,86.7,164.0,Flood
47.8,74.4,106.2,73.9,1971.0,Safe
39.2,31.5,29.8,43.6,2400.0,Safe
80.9,8.0,60.9,39.0,2229.0,Safe
95.0,233.8,362.3,99.2,3153.0,Landslide
6.6,0.0,0.0,6.9,746.0,Drought
67.4,57.9,44.3,72.6,2459.0,Safe
11.9,0.0,0.0,7.1,353.0,Drought
60.9,77.2,76.0,34.2,2179.0,Safe
96.3,243.6,600.7,91.4,1447.0,Landslide
53.8,58.9,20.7,38.3,1449.0,Safe
53.8,47.3,45.5,45.0,1753.0,Safe
11.3,0.0,0.0,8.4,290.0,Drought
38.5,66.7,108.2,66.9,1155.0,Safe
99.4,421.9,675.2,96.6,28.0,Cyclone
74.1,26.9,47.4,61.8,2050.0,Safe
95.6,116.2,754.1,98.9,1451.0,Landslide
100.0,425.7,541.5,91.7,129.0,Flood
96.1,190.4,504.5,99.8,2118.0,Landslide
83.4,70.3,60.6,65.8,1010.0,Safe
77.1,38.4,100.6,55.7,1102.0,Safe
60.2,35.4,110.4,63.3,2860.0,Safe
76.0,66.5,20.0,40.1,47.0,Safe
58.9,62.1,44.2,46.5,1002.0,Safe
48.3,24.1,43.8,31.2,567.0,Safe
65.5,10.9,79.5,46.8,1524.0,Safe
97.2,156.9,792.9,90.1,2029.0,Landslide
84.4,30.4,89.4,48.4,2935.0,Safe
64.7,28.5,44.0,42.3,123.0,Safe
45.6,47.2,117.6,36.7,946.0,Safe
95.4,552.1,692.0,76.8,40.0,Cyclone
85.0,37.3,117.7,60.5,1773.0,Safe
96.2,198.5,741.2,90.9,2879.0,Landslide
38.7,78.3,115.3,71.7,2041.0,Safe
40.5,10.8,105.7,45.7,1415.0,Safe
74.3,55.1,59.8,65.3,2494.0,Safe
36.8,19.0,28.3,20.8,986.0,Safe
99.8,303.1,463.4,77.0,14.0,Cyclone
10.9,0.0,0.0,6.4,475.0,Drought
99.5,238.0,422.3,87.4,112.0,Flood
59.0,18.0,20.4,43.7,1741.0,Safe
5.3,0.0,0.0,6.5,349.0,Drought
6.4,0.0,0.0,13.8,617.0,Drought
54.5,67.5,83.0,39.2,1043.0,Safe
94.5,258.1,331.3,97.5,122.0,Flood
59.1,42.0,9.8,45.1,2902.0,Safe
7.2,0.0,0.0,6.6,244.0,Drought
95.3,348.4,394.6,94.5,18.0,Flood
83.3,5.5,76.5,31.0,296.0,Safe
96.1,370.1,713.6,98.4,9.0,Cyclone
16.2,0.0,0.0,5.6,748.0,Drought
39.1,8.3,14.3,44.8,305.0,Safe
84.6,29.6,57.9,38.5,1417.0,Safe
97.2,189.9,406.5,97.9,711.0,Landslide
97.9,198.1,566.4,94.4,130.0,Flood
76.4,40.9,11.1,66.3,155.0,Safe
67.0,61.5,27.1,72.9,2000.0,Safe
98.7,349.9,695.9,95.4,5.0,Cyclone
97.8,371.5,381.6,86.3,141.0,Flood
13.0,0.0,0.0,2.4,293.0,Drought
70.9,43.6,57.8,64.1,122.0,Safe
49.8,79.8,119.0,56.3,905.0,Safe
19.4,0.0,0.0,0.7,482.0,Drought
68.6,76.5,83.5,47.8,2686.0,Safe
5.3,0.0,0.0,7.8,474.0,Drought
99.1,522.4,628.5,79.7,19.0,Cyclone
68.9,36.1,55.6,28.9,470.0,Safe
77.1,38.8,37.9,66.3,106.0,Safe
68.0,34.6,91.2,55.0,2519.0,Safe
67.7,8.8,8.4,52.9,1993.0,Safe
65.1,35.5,86.7,33.8,2452.0,Safe
96.7,391.8,805.8,85.0,15.0,Cyclone
9.0,0.0,0.0,11.5,479.0,Drought
57.8,12.4,115.2,34.2,1761.0,Safe
98.9,252.1,851.1,95.4,31.0,Cyclone
7.4,0.0,0.0,0.8,404.0,Drought
99.6,127.1,787.8,94.8,2588.0,Landslide
61.8,60.9,50.1,65.5,1830.0,Safe
35.9,49.9,16.5,55.4,2410.0,Safe
55.8,22.9,25.7,26.6,1729.0,Safe
62.2,66.4,104.0,59.1,1417.0,Safe
61.8,17.2,16.8,32.8,1996.0,Safe
17.1,0.0,0.0,9.2,565.0,Drought
57.1,13.8,61.4,34.4,1217.0,Safe
39.6,75.1,97.1,56.6,202.0,Safe
97.8,199.9,239.5,88.3,178.0,Flood
97.7,207.9,412.8,94.5,88.0,Flood
93.0,170.2,426.6,92.8,50.0,Flood
10.5,0.0,0.0,1.9,523.0,Drought
64.4,53.5,45.5,72.7,246.0,Safe
38.0,10.7,18.2,35.9,1510.0,Safe
97.4,308.0,774.1,80.4,9.0,Cyclone
93.1,155.9,584.8,99.1,2714.0,Landslide
92.2,324.0,394.3,99.2,50.0,Flood
74.6,4.1,60.2,53.9,1278.0,Safe
97.5,444.8,478.2,85.0,1.0,Cyclone
52.5,47.9,59.5,35.8,520.0,Safe
62.9,39.2,8.7,62.0,702.0,Safe
52.3,74.0,82.2,30.3,2682.0,Safe
41.2,24.7,68.4,32.1,124.0,Safe
60.3,55.3,62.6,58.3,2814.0,Safe
70.1,1.9,20.3,27.4,1432.0,Safe
76.1,50.5,64.6,22.0,219.0,Safe
56.8,52.5,39.8,70.6,2855.0,Safe
98.0,187.7,649.9,92.1,1472.0,Landslide
67.6,1.1,117.6,27.7,16.0,Safe
83.8,56.9,88.8,71.0,292.0,Safe
46.1,67.3,89.6,41.8,417.0,Safe
55.6,20.9,60.1,69.9,406.0,Safe
73.6,42.9,67.6,70.7,217.0,Safe
50.7,33.1,0.5,22.2,2969.0,Safe
37.5,3.8,36.6,70.2,1542.0,Safe
41.6,63.9,92.2,42.3,591.0,Safe
36.3,48.4,48.5,50.9,1478.0,Safe
96.0,491.8,761.8,97.7,45.0,Cyclone
52.0,21.2,84.0,23.1,2010.0,Safe
63.0,43.5,93.1,60.2,1088.0,Safe
73.2,42.4,102.2,35.5,514.0,Safe
8.4,0.0,0.0,2.1,232.0,Drought
96.6,403.6,595.9,89.4,23.0,Flood
83.8,46.0,46.4,53.4,178.0,Safe
50.8,61.8,97.1,38.9,1143.0,Safe
92.1,227.2,538.3,91.0,2188.0,Landslide
99.2,434.7,368.2,88.2,14.0,Flood
84.7,44.1,76.6,31.3,939.0,Safe
72.0,36.9,34.3,44.2,1018.0,Safe
54.2,10.2,106.3,53.3,188.0,Safe
95.9,245.9,502.1,94.5,175.0,Flood
71.7,75.6,78.4,69.2,1126.0,Safe
80.6,67.7,84.6,28.2,1430.0,Safe
42.7,50.7,28.3,69.6,1823.0,Safe
92.6,179.7,536.3,99.2,3253.0,Landslide
5.9,0.0,0.0,10.5,779.0,Drought
93.2,258.7,463.1,95.1,187.0,Flood
39.3,5.2,15.1,48.5,1054.0,Safe
63.6,28.5,44.1,26.8,2183.0,Safe
54.6,4.6,92.4,66.6,2279.0,Safe
76.0,60.1,94.8,23.7,2346.0,Safe
80.1,62.6,46.1,36.2,1599.0,Safe
79.8,73.0,68.6,38.7,838.0,Safe
68.4,77.9,16.8,34.1,543.0,Safe
39.6,11.7,88.3,38.0,2525.0,Safe
41.4,74.8,26.0,37.7,567.0,Safe
98.8,160.3,485.6,91.1,1293.0,Landslide
57.0,2.9,35.0,59.0,423.0,Safe
6.0,0.0,0.0,4.1,575.0,Drought
16.5,0.0,0.0,3.6,407.0,Drought
50.3,51.8,110.6,72.6,1707.0,Safe
45.6,35.9,31.6,57.3,503.0,Safe
73.3,40.7,53.8,55.1,2689.0,Safe
37.9,15.4,66.2,58.7,2406.0,Safe
93.2,217.3,508.1,99.1,1526.0,Landslide
47.1,5.8,82.5,37.7,2594.0,Safe
42.5,25.0,34.0,36.5,1232.0,Safe
83.8,5.2,94.7,67.4,265.0,Safe
41.9,22.1,47.2,64.3,1972.0,Safe
82.9,66.2,74.0,47.5,2726.0,Safe
44.4,64.8,36.8,37.3,1068.0,Safe
82.9,67.4,34.3,38.5,1963.0,Safe
56.2,62.5,25.9,39.1,1174.0,Safe
82.1,79.3,92.6,26.2,1556.0,Safe
38.5,48.8,46.5,54.5,1743.0,Safe
59.2,17.6,84.6,71.6,1481.0,Safe
95.9,226.0,558.7,95.7,17.0,Flood
64.8,70.0,102.1,58.6,1833.0,Safe
76.7,55.4,115.2,22.1,1196.0,Safe
11.6,0.0,0.0,5.6,601.0,Drought
74.4,33.9,86.8,37.7,575.0,Safe
38.1,52.8,14.3,40.6,1924.0,Safe
99.3,239.3,442.8,97.2,9.0,Flood
96.2,247.2,541.8,98.1,1401.0,Landslide
8.3,0.0,0.0,11.9,784.0,Drought
99.3,371.0,519.8,82.8,4.0,Cyclone
67.2,25.2,22.5,71.6,1011.0,Safe
73.8,17.1,98.9,32.1,1784.0,Safe
62.2,56.9,119.5,64.5,23.0,Safe
60.7,25.3,62.6,23.1,1269.0,Safe
47.5,31.7,83.6,61.8,1017.0,Safe
61.0,77.9,4.3,35.1,761.0,Safe
8.9,0.0,0.0,14.2,495.0,Drought
45.5,45.2,103.9,50.2,758.0,Safe
18.8,0.0,0.0,5.6,248.0,Drought
74.8,22.1,28.1,63.0,2851.0,Safe
83.0,58.0,21.4,25.0,507.0,Safe
37.3,72.1,73.0,42.5,2040.0,Safe
97.7,178.2,353.5,87.6,108.0,Flood
78.7,48.4,119.3,53.3,2037.0,Safe
39.1,75.6,3.2,67.4,2046.0,Safe
95.0,189.3,622.6,97.2,1129.0,Landslide
61.9,59.3,11.7,66.8,2092.0,Safe
13.6,0.0,0.0,8.3,340.0,Drought
89.3,392.2,485.6,86.2,49.0,Flood
59.3,36.4,59.7,21.9,2624.0,Safe
68.2,46.0,0.1,64.8,421.0,Safe
42.7,60.2,105.5,36.8,184.0,Safe
97.9,415.0,844.8,88.0,43.0,Cyclone
98.5,520.7,776.7,79.9,40.0,Cyclone
85.0,43.0,31.4,26.4,321.0,Safe
74.8,44.6,101.3,55.4,309.0,Safe
74.7,51.7,114.8,56.2,190.0,Safe
66.0,67.7,107.4,67.2,1209.0,Safe
41.0,10.6,16.3,56.5,2034.0,Safe
77.2,30.8,58.8,68.0,1891.0,Safe
58.7,39.5,31.3,71.1,1071.0,Safe
70.7,61.0,111.4,21.0,2013.0,Safe
99.0,593.2,699.4,81.9,47.0,Cyclone
62.4,44.7,80.7,70.0,2893.0,Safe
97.2,157.6,622.7,97.1,1224.0,Landslide
93.3,367.5,478.8,96.9,55.0,Flood
94.0,379.4,291.2,86.3,79.0,Flood
59.0,48.6,98.5,52.7,2057.0,Safe
69.5,76.9,72.1,24.3,728.0,Safe
19.5,0.0,0.0,7.1,589.0,Drought
73.9,46.6,39.7,53.0,1859.0,Safe
7.5,0.0,0.0,5.6,800.0,Drought
51.8,42.0,100.5,34.4,153.0,Safe
95.8,434.6,408.9,92.9,24.0,Cyclone
71.9,31.5,59.3,20.2,809.0,Safe
48.4,72.1,52.7,42.7,2131.0,Safe
94.1,421.3,471.0,98.9,191.0,Flood
11.6,0.0,0.0,4.6,495.0,Drought
53.2,69.9,50.4,24.4,2262.0,Safe
5.0,0.0,0.0,1.1,475.0,Drought
98.3,221.7,530.1,93.3,939.0,Landslide
83.1,33.5,98.4,27.5,385.0,Safe
18.6,0.0,0.0,8.9,417.0,Drought
54.8,78.9,21.0,42.4,1603.0,Safe
97.5,165.2,573.4,93.9,185.0,Flood
97.3,184.4,358.1,89.7,36.0,Flood
95.9,308.3,374.8,90.7,53.0,Flood
99.2,107.5,489.1,99.9,1527.0,Landslide
84.7,41.0,58.9,51.8,520.0,Safe
80.3,31.5,67.5,56.7,1006.0,Safe
61.5,46.9,62.4,50.1,555.0,Safe
57.0,24.0,7.8,33.2,172.0,Safe
88.3,297.3,394.0,92.2,13.0,Flood
95.4,251.9,326.6,85.4,44.0,Flood
15.7,0.0,0.0,5.8,785.0,Drought
73.5,50.3,66.8,54.8,790.0,Safe
14.6,0.0,0.0,9.4,696.0,Drought
46.3,39.6,69.4,32.3,868.0,Safe
60.2,59.9,83.6,34.9,896.0,Safe
54.0,22.0,3.0,61.9,2419.0,Safe
18.1,0.0,0.0,14.6,340.0,Drought
57.8,5.5,14.3,33.4,1953.0,Safe
43.3,69.0,99.4,66.3,573.0,Safe
35.8,1.6,35.9,33.6,1350.0,Safe
11.0,0.0,0.0,3.3,310.0,Drought
69.3,56.1,118.6,64.8,2583.0,Safe
45.8,34.5,32.3,63.1,1628.0,Safe
84.1,73.6,2.3,63.3,593.0,Safe
84.7,64.6,108.0,38.9,1321.0,Safe
17.2,0.0,0.0,8.2,228.0,Drought
76.9,41.3,55.4,33.2,714.0,Safe
45.3,66.9,79.2,70.0,1520.0,Safe
75.0,5.6,43.9,22.3,403.0,Safe
60.4,58.6,0.1,74.1,177.0,Safe
40.1,25.8,28.9,44.1,587.0,Safe
39.8,29.2,2.4,74.4,1110.0,Safe
90.2,363.9,425.1,92.8,94.0,Flood
60.8,40.5,88.9,35.4,2615.0,Safe
73.0,46.6,53.7,39.7,455.0,Safe
82.4,69.3,65.6,34.1,2653.0,Safe
6.5,0.0,0.0,4.6,517.0,Drought
98.6,304.8,449.7,91.8,49.0,Flood
38.0,48.2,104.5,74.0,1644.0,Safe
68.1,5.4,30.7,36.0,174.0,Safe
69.4,34.8,97.7,48.7,2403.0,Safe
66.6,13.8,70.8,28.3,1040.0,Safe
13.3,0.0,0.0,8.9,644.0,Drought
73.1,22.7,101.6,26.0,1422.0,Safe
72.6,63.0,22.9,23.1,2594.0,Safe
17.7,0.0,0.0,5.5,529.0,Drought
99.7,105.0,465.0,98.4,2522.0,Landslide
95.6,309.5,812.8,83.9,23.0,Cyclone
76.4,27.4,67.8,66.3,1919.0,Safe
50.8,44.4,87.9,55.3,707.0,Safe
92.9,180.0,555.1,90.5,2306.0,Landslide
79.1,55.1,74.3,55.2,1822.0,Safe
67.0,7.6,74.7,48.8,65.0,Safe
77.6,57.7,61.2,43.9,2195.0,Safe
55.2,19.9,80.8,60.8,2385.0,Safe
53.5,78.3,40.7,51.9,616.0,Safe
99.9,115.2,683.0,93.3,637.0,Landslide
82.8,60.3,28.8,48.3,448.0,Safe
41.1,40.8,68.8,43.8,258.0,Safe
55.7,65.5,107.1,31.8,264.0,Safe
81.1,75.6,33.8,48.9,2.0,Safe
92.2,157.2,579.9,88.5,80.0,Flood
37.1,68.9,14.3,74.1,463.0,Safe
76.4,74.6,96.0,26.1,2357.0,Safe
9.2,0.0,0.0,5.1,474.0,Drought
17.9,0.0,0.0,6.7,323.0,Drought
48.4,32.2,36.5,59.1,2092.0,Safe
77.7,62.5,75.2,27.6,1277.0,Safe
74.1,51.0,89.9,55.8,1212.0,Safe
68.9,52.5,31.2,74.0,557.0,Safe
94.4,229.8,513.7,94.4,1452.0,Landslide
57.7,22.4,48.8,65.7,534.0,Safe
58.2,63.7,103.3,67.0,1104.0,Safe
43.3,40.6,82.8,52.3,2511.0,Safe
18.7,0.0,0.0,12.0,387.0,Drought
74.0,21.1,83.6,46.7,2996.0,Safe
8.3,0.0,0.0,11.9,242.0,Drought
80.4,20.0,67.4,44.2,2542.0,Safe
12.5,0.0,0.0,10.6,390.0,Drought
81.9,18.1,94.5,70.6,523.0,Safe
40.2,6.7,18.3,46.0,671.0,Safe
45.5,68.2,83.2,65.2,1426.0,Safe
64.7,6.3,46.3,43.7,66.0,Safe
97.6,146.7,774.6,91.4,2335.0,Landslide
99.3,405.8,238.6,92.1,158.0,Flood
75.9,75.7,40.2,33.3,2154.0,Safe
44.2,45.9,33.2,49.4,413.0,Safe
35.7,75.1,118.0,69.4,1600.0,Safe
71.1,59.1,44.1,20.5,1522.0,Safe
41.6,79.9,64.1,35.6,1787.0,Safe
95.5,409.6,665.0,85.4,29.0,Cyclone
41.2,15.6,75.9,23.5,1984.0,Safe
75.1,4.6,56.5,39.5,1387.0,Safe
46.1,15.5,13.4,21.3,2321.0,Safe
61.0,21.7,65.4,67.2,2907.0,Safe
35.7,42.5,86.6,61.1,675.0,Safe
85.0,10.3,59.4,59.2,2841.0,Safe
57.5,6.7,99.6,47.3,1575.0,Safe
44.4,12.4,89.5,52.4,1252.0,Safe
7.9,0.0,0.0,2.0,393.0,Drought
44.9,46.2,8.3,73.8,883.0,Safe
97.4,286.4,482.5,91.3,72.0,Flood
94.9,165.0,510.2,98.4,2818.0,Landslide
78.6,47.1,92.5,34.9,2520.0,Safe
100.0,134.4,388.0,98.6,3299.0,Landslide
90.9,383.2,477.6,98.5,153.0,Flood
81.9,52.9,34.5,52.7,96.0,Safe
98.4,463.1,633.3,85.5,16.0,Cyclone
36.5,14.2,88.1,23.6,2914.0,Safe
49.5,41.7,43.4,51.6,939.0,Safe
44.7,67.6,111.7,51.3,2091.0,Safe
62.6,41.4,39.0,27.4,693.0,Safe
96.0,513.0,744.5,89.9,18.0,Cyclone
52.6,43.0,54.0,45.3,2076.0,Safe
92.2,122.7,575.8,98.4,3273.0,Landslide
98.1,341.2,255.6,93.9,138.0,Flood
68.0,47.0,77.3,57.2,2601.0,Safe
68.0,1.9,23.6,30.2,590.0,Safe
63.4,59.1,64.0,38.7,1874.0,Safe
95.3,213.2,531.3,97.0,1113.0,Landslide
11.7,0.0,0.0,13.2,784.0,Drought
10.7,0.0,0.0,12.4,394.0,Drought
89.3,424.3,361.7,97.8,73.0,Flood
54.8,47.3,108.2,32.9,1010.0,Safe
90.5,198.4,245.1,93.3,57.0,Flood
46.6,65.5,79.2,61.1,102.0,Safe
99.6,341.2,378.8,92.0,79.0,Flood
44.7,76.4,119.3,39.2,158.0,Safe
38.1,37.3,102.3,54.4,1164.0,Safe
66.2,12.0,59.2,35.8,763.0,Safe
53.6,27.7,96.3,56.7,611.0,Safe
11.9,0.0,0.0,1.6,312.0,Drought
17.5,0.0,0.0,9.3,770.0,Drought
95.6,116.3,515.9,95.6,2678.0,Landslide
71.0,57.5,3.5,50.7,1801.0,Safe
51.7,16.5,116.9,62.2,2572.0,Safe
98.9,285.7,287.7,97.6,171.0,Flood
17.7,0.0,0.0,6.2,733.0,Drought
84.3,63.8,47.0,22.1,2607.0,Safe
68.7,9.6,75.3,37.6,2900.0,Safe
94.2,247.5,250.3,93.1,79.0,Flood
95.2,519.2,477.0,83.0,49.0,Cyclone
53.4,37.5,101.9,50.8,604.0,Safe
94.3,283.7,383.8,90.0,184.0,Flood
14.7,0.0,0.0,14.6,396.0,Drought
40.7,57.0,56.8,21.1,2405.0,Safe
54.2,21.6,80.7,37.2,1771.0,Safe
14.0,0.0,0.0,10.0,500.0,Drought
97.3,520.2,567.3,88.7,26.0,Cyclone
58.9,53.9,66.5,61.2,2407.0,Safe
59.8,34.3,94.1,40.3,1176.0,Safe
57.3,73.9,51.7,71.3,2096.0,Safe
91.2,211.6,571.6,88.3,30.0,Flood
74.2,28.4,96.9,70.2,1845.0,Safe
96.5,443.5,452.9,89.9,10.0,Flood
17.8,0.0,0.0,13.5,357.0,Drought
97.1,136.8,499.3,93.6,1087.0,Landslide
64.5,73.0,5.1,62.3,260.0,Safe
52.8,7.4,108.5,61.0,2041.0,Safe
66.6,64.4,70.6,69.1,2610.0,Safe
59.5,29.0,39.3,74.6,1621.0,Safe
94.6,404.0,206.9,98.2,26.0,Flood
60.9,30.2,83.4,24.4,926.0,Safe
60.5,54.3,4.2,70.4,789.0,Safe
84.3,58.0,100.5,33.7,2037.0,Safe
74.9,48.5,84.2,51.8,1965.0,Safe
81.3,37.6,15.4,30.4,1997.0,Safe
92.4,140.5,555.3,92.9,1483.0,Landslide
95.7,329.2,422.9,99.8,145.0,Flood
8.3,0.0,0.0,14.4,714.0,Drought
80.6,14.2,112.8,59.8,1019.0,Safe
50.1,67.3,62.9,31.8,1117.0,Safe
38.9,24.7,83.5,59.6,2882.0,Safe
96.9,136.3,433.6,90.7,1557.0,Landslide
63.0,38.4,96.0,70.8,2292.0,Safe
76.5,14.5,60.8,53.6,954.0,Safe
100.0,407.8,560.2,97.4,158.0,Flood
54.0,70.1,66.9,69.5,2743.0,Safe
37.3,31.6,116.7,64.4,2406.0,Safe
37.5,5.3,9.0,71.7,696.0,Safe
58.7,27.7,69.4,70.0,2585.0,Safe
66.9,28.4,18.5,36.2,504.0,Safe
97.8,136.0,372.0,92.5,2928.0,Landslide
59.7,9.4,55.6,46.5,353.0,Safe
73.5,15.6,1.5,60.3,2439.0,Safe
6.0,0.0,0.0,4.7,726.0,Drought
94.1,225.9,681.2,94.8,2670.0,Landslide
55.1,76.9,19.2,72.6,2720.0,Safe
97.1,494.8,491.4,85.2,6.0,Cyclone
61.5,48.7,8.8,29.2,2119.0,Safe
54.4,0.7,51.1,37.6,2530.0,Safe
93.4,181.9,402.7,88.8,153.0,Flood
95.4,446.5,285.7,88.3,195.0,Flood
68.8,68.9,53.9,24.3,1368.0,Safe
63.9,12.5,85.6,24.6,63.0,Safe
13.7,0.0,0.0,11.1,615.0,Drought
19.0,0.0,0.0,2.0,460.0,Drought
91.4,390.0,388.8,85.2,118.0,Flood
99.8,157.1,570.1,92.8,2855.0,Landslide
9.9,0.0,0.0,11.6,683.0,Drought
9.9,0.0,0.0,14.5,778.0,Drought
5.7,0.0,0.0,14.7,242.0,Drought
57.9,5.1,18.3,35.1,489.0,Safe
68.8,62.1,29.6,40.5,1980.0,Safe
70.1,53.1,43.0,37.1,1054.0,Safe
97.3,267.9,722.1,83.2,39.0,Cyclone
93.9,176.3,439.9,99.2,3011.0,Landslide
37.3,37.4,23.8,64.4,985.0,Safe
62.9,77.3,60.5,47.6,2503.0,Safe
8.4,0.0,0.0,8.1,775.0,Drought
98.7,444.9,536.5,92.1,27.0,Flood
73.6,22.8,27.1,43.8,794.0,Safe
17.1,0.0,0.0,9.2,757.0,Drought
93.3,209.7,582.4,97.8,1125.0,Landslide
38.2,52.1,24.6,54.7,20.0,Safe
79.3,24.8,33.2,31.9,1740.0,Safe
58.2,35.5,48.9,25.4,93.0,Safe
78.2,75.7,89.4,60.6,2353.0,Safe
40.1,3.9,104.2,50.7,1449.0,Safe
94.8,197.4,755.3,90.9,738.0,Landslide
56.5,79.6,24.4,65.6,2876.0,Safe
92.3,157.6,596.8,97.5,41.0,Flood
56.7,18.6,18.6,56.0,1003.0,Safe
9.6,0.0,0.0,7.4,330.0,Drought
94.4,222.6,697.7,93.2,2079.0,Landslide
97.0,416.8,590.1,79.3,10.0,Cyclone
92.8,125.3,680.9,93.0,1939.0,Landslide
98.7,298.9,508.1,84.0,45.0,Cyclone
73.7,6.9,4.3,53.1,847.0,Safe
66.0,40.7,114.2,28.4,1649.0,Safe
63.9,41.6,92.3,49.3,72.0,Safe
51.1,56.4,20.9,21.4,1707.0,Safe
63.9,36.1,109.1,28.8,2455.0,Safe
57.8,34.4,51.5,61.7,1211.0,Safe
65.1,46.5,28.1,71.5,1075.0,Safe
98.0,183.7,431.4,88.5,6.0,Flood
58.2,21.8,18.7,36.7,2389.0,Safe
